query,score,value,eps,min_samples,bias
classmates,map,0.37309795404189,0.9,5,us
classmates,ndcg,0.852620162509874,0.9,5,us
classmates,map,0.3589291848502375,0.9,5,ru
classmates,ndcg,0.848726116361289,0.9,5,ru
classmates,map,0.29717832701242314,0.9,8,False
classmates,ndcg,0.8378135825587463,0.9,8,False
classmates,map,0.30612320566318413,0.9,8,us
classmates,ndcg,0.8378135825587463,0.9,8,us
classmates,map,0.29717832701242314,0.9,8,ru
classmates,ndcg,0.8378135825587463,0.9,8,ru
Gdz,map,0.12916666666666665,0.1,2,False
Gdz,ndcg,0.736081583091751,0.1,2,False
Gdz,map,0.08204334365325078,0.1,2,us
Gdz,ndcg,0.5962400243559874,0.1,2,us
Gdz,map,0.11212121212121212,0.1,2,ru
Gdz,ndcg,0.7355028995659643,0.1,2,ru
Gdz,map,0.21666666666666667,0.1,5,False
Gdz,ndcg,0.6225341491978486,0.1,5,False
Gdz,map,0.21666666666666667,0.1,5,us
Gdz,ndcg,0.5646163955605767,0.1,5,us
Gdz,map,0.22549019607843135,0.1,5,ru
Gdz,ndcg,0.657197724178148,0.1,5,ru
Gdz,map,0.09722222222222221,0.1,8,False
Gdz,ndcg,0.747434337464842,0.1,8,False
Gdz,map,0.09722222222222221,0.1,8,us
Gdz,ndcg,0.747434337464842,0.1,8,us
Gdz,map,0.09722222222222221,0.1,8,ru
Gdz,ndcg,0.747434337464842,0.1,8,ru
Gdz,map,0.12916666666666665,0.5,2,False
Gdz,ndcg,0.736081583091751,0.5,2,False
Gdz,map,0.08204334365325078,0.5,2,us
Gdz,ndcg,0.5962400243559874,0.5,2,us
Gdz,map,0.11212121212121212,0.5,2,ru
Gdz,ndcg,0.7355028995659643,0.5,2,ru
Gdz,map,0.21666666666666667,0.5,5,False
Gdz,ndcg,0.6225341491978486,0.5,5,False
Gdz,map,0.21666666666666667,0.5,5,us
Gdz,ndcg,0.5646163955605767,0.5,5,us
Gdz,map,0.22549019607843135,0.5,5,ru
Gdz,ndcg,0.657197724178148,0.5,5,ru
Gdz,map,0.09722222222222221,0.5,8,False
Gdz,ndcg,0.747434337464842,0.5,8,False
Gdz,map,0.09722222222222221,0.5,8,us
Gdz,ndcg,0.747434337464842,0.5,8,us
Gdz,map,0.09722222222222221,0.5,8,ru
Gdz,ndcg,0.747434337464842,0.5,8,ru
Gdz,map,0.17692307692307693,0.9,2,False
Gdz,ndcg,0.7358830818657127,0.9,2,False
Gdz,map,0.08204334365325078,0.9,2,us
Gdz,ndcg,0.6333805355648965,0.9,2,us
Gdz,map,0.12698412698412698,0.9,2,ru
Gdz,ndcg,0.715105534766753,0.9,2,ru
Gdz,map,0.15000000000000002,0.9,5,False
Gdz,ndcg,0.5939352656887736,0.9,5,False
Gdz,map,0.1125,0.9,5,us
Gdz,ndcg,0.6364794061359899,0.9,5,us
Gdz,map,0.10555555555555556,0.9,5,ru
Gdz,ndcg,0.7303178727200637,0.9,5,ru
Gdz,map,0.08125,0.9,8,False
Gdz,ndcg,0.8521932430104514,0.9,8,False
Gdz,map,0.08125,0.9,8,us
Gdz,ndcg,0.8521932430104514,0.9,8,us
Gdz,map,0.08125,0.9,8,ru
Gdz,ndcg,0.8521932430104514,0.9,8,ru
Gypsophyla,map,0.9928916886253842,0.1,2,False
Gypsophyla,ndcg,0.5318110588677651,0.1,2,False
Gypsophyla,map,0.9983333333333333,0.1,2,us
Gypsophyla,ndcg,0.5318110588677651,0.1,2,us
Gypsophyla,map,0.9133231711650325,0.1,2,ru
Gypsophyla,ndcg,0.7751355158639127,0.1,2,ru
Gypsophyla,map,0.935144983611845,0.1,5,False
Gypsophyla,ndcg,0.6954452308270774,0.1,5,False
Gypsophyla,map,0.935144983611845,0.1,5,us
Gypsophyla,ndcg,0.6954452308270774,0.1,5,us
Gypsophyla,map,0.935144983611845,0.1,5,ru
