,rank,query,value,cat,timeframe
2,2,facebook,78,top,2020-10-01 2020-11-01
3,3,amazon,68,top,2020-10-01 2020-11-01
4,4,news,67,top,2020-10-01 2020-11-01
5,5,youtube,66,top,2020-10-01 2020-11-01
6,6,trump,56,top,2020-10-01 2020-11-01
7,7,walmart,43,top,2020-10-01 2020-11-01
8,8,halloween,42,top,2020-10-01 2020-11-01
9,9,nfl,41,top,2020-10-01 2020-11-01
10,10,apple,29,top,2020-10-01 2020-11-01
11,11,yahoo,29,top,2020-10-01 2020-11-01
12,12,craigslist,29,top,2020-10-01 2020-11-01
13,13,calculator,26,top,2020-10-01 2020-11-01
14,14,translate,24,top,2020-10-01 2020-11-01
15,15,instagram,21,top,2020-10-01 2020-11-01
16,16,home depot,20,top,2020-10-01 2020-11-01
17,17,gmail,19,top,2020-10-01 2020-11-01
18,18,target,19,top,2020-10-01 2020-11-01
19,19,netflix,19,top,2020-10-01 2020-11-01
20,20,nba,16,top,2020-10-01 2020-11-01
21,21,google classroom,15,top,2020-10-01 2020-11-01
22,22,mlb,14,top,2020-10-01 2020-11-01
23,23,fox news,14,top,2020-10-01 2020-11-01
24,24,dodgers,14,top,2020-10-01 2020-11-01
25,0,stamen grigorov,3200,rising,2020-10-01 2020-11-01
26,1,dodgers,450,rising,2020-10-01 2020-11-01
27,2,dak prescott,450,rising,2020-10-01 2020-11-01
28,3,tampa bay rays,350,rising,2020-10-01 2020-11-01
29,4,halloween,200,rising,2020-10-01 2020-11-01
30,5,alabama football,140,rising,2020-10-01 2020-11-01
31,6,trump,80,rising,2020-10-01 2020-11-01
32,7,cnn,50,rising,2020-10-01 2020-11-01
33,8,among us,40,rising,2020-10-01 2020-11-01
0,0,election,100,top,2020-11-01 2020-12-01
1,1,election results,62,top,2020-11-01 2020-12-01
2,2,election 2020,32,top,2020-11-01 2020-12-01
3,3,2020 election results,22,top,2020-11-01 2020-12-01
4,4,news,21,top,2020-11-01 2020-12-01
5,5,weather,19,top,2020-11-01 2020-12-01
6,6,google,19,top,2020-11-01 2020-12-01
7,7,amazon,17,top,2020-11-01 2020-12-01
8,8,trump,17,top,2020-11-01 2020-12-01
9,9,facebook,16,top,2020-11-01 2020-12-01
10,10,walmart,16,top,2020-11-01 2020-12-01
11,11,youtube,15,top,2020-11-01 2020-12-01
12,12,election results #election2020,12,top,2020-11-01 2020-12-01
13,13,presidential election,11,top,2020-11-01 2020-12-01
14,14,nfl,9,top,2020-11-01 2020-12-01
15,15,twitter,7,top,2020-11-01 2020-12-01
16,16,craigslist,7,top,2020-11-01 2020-12-01
17,17,target,6,top,2020-11-01 2020-12-01
18,18,yahoo,6,top,2020-11-01 2020-12-01
19,19,fox news,6,top,2020-11-01 2020-12-01
20,20,best buy,6,top,2020-11-01 2020-12-01
21,21,cnn,5,top,2020-11-01 2020-12-01
22,22,ps5,5,top,2020-11-01 2020-12-01
23,23,presidential election 2020,5,top,2020-11-01 2020-12-01
24,24,home depot,5,top,2020-11-01 2020-12-01
25,0,election results #election2020,54600,rising,2020-11-01 2020-12-01
26,1,election results,30150,rising,2020-11-01 2020-12-01
27,2,2020 election results,29800,rising,2020-11-01 2020-12-01
28,3,live election results,14350,rising,2020-11-01 2020-12-01
29,4,who won the election,7250,rising,2020-11-01 2020-12-01
30,5,us election results,6000,rising,2020-11-01 2020-12-01
31,6,presidential election results,5550,rising,2020-11-01 2020-12-01
32,7,where do i vote #election2020,5350,rising,2020-11-01 2020-12-01
33,8,presidential election 2020,3900,rising,2020-11-01 2020-12-01
34,9,election 2020,3700,rising,2020-11-01 2020-12-01
35,10,election,3550,rising,2020-11-01 2020-12-01
36,11,who is winning the election,3250,rising,2020-11-01 2020-12-01
37,12,arizona election results 2020,3150,rising,2020-11-01 2020-12-01
38,13,benoit mandelbrot,3150,rising,2020-11-01 2020-12-01
39,14,presidential election,2800,rising,2020-11-01 2020-12-01
40,15,whos winning the election,2700,rising,2020-11-01 2020-12-01
41,16,election map,2650,rising,2020-11-01 2020-12-01
42,17,poll results,2300,rising,2020-11-01 2020-12-01
43,18,electoral college map,1750,rising,2020-11-01 2020-12-01
44,19,veterans day,1100,rising,2020-11-01 2020-12-01
45,20,voting results,1100,rising,2020-11-01 2020-12-01
46,21,ps5,400,rising,2020-11-01 2020-12-01
47,22,xbox series x,300,rising,2020-11-01 2020-12-01
48,23,gamestop,200,rising,2020-11-01 2020-12-01
49,24,trump twitter,180,rising,2020-11-01 2020-12-01
0,0,weather,100,top,2020-12-01 2021-01-01
1,1,amazon,84,top,2020-12-01 2021-01-01
2,2,google,77,top,2020-12-01 2021-01-01
3,3,facebook,74,top,2020-12-01 2021-01-01
4,4,news,67,top,2020-12-01 2021-01-01
5,5,walmart,64,top,2020-12-01 2021-01-01
6,6,youtube,62,top,2020-12-01 2021-01-01
7,7,december global holidays,58,top,2020-12-01 2021-01-01
8,8,nfl,46,top,2020-12-01 2021-01-01
9,9,target,32,top,2020-12-01 2021-01-01
10,10,yahoo,31,top,2020-12-01 2021-01-01
11,11,craigslist,28,top,2020-12-01 2021-01-01
12,12,usps,28,top,2020-12-01 2021-01-01
13,13,stimulus check,25,top,2020-12-01 2021-01-01
14,14,calculator,21,top,2020-12-01 2021-01-01
15,15,best buy,21,top,2020-12-01 2021-01-01
16,16,translate,20,top,2020-12-01 2021-01-01
17,17,home depot,20,top,2020-12-01 2021-01-01
18,18,netflix,20,top,2020-12-01 2021-01-01
19,19,gmail,18,top,2020-12-01 2021-01-01
20,20,nba,18,top,2020-12-01 2021-01-01
21,21,usps tracking,17,top,2020-12-01 2021-01-01
22,22,ups,16,top,2020-12-01 2021-01-01
23,23,ebay,15,top,2020-12-01 2021-01-01
24,24,sports,15,top,2020-12-01 2021-01-01
25,0,december global holidays,62900,rising,2020-12-01 2021-01-01
26,1,stimulus check,450,rising,2020-12-01 2021-01-01
27,2,second stimulus check,250,rising,2020-12-01 2021-01-01
28,3,usps tracking,190,rising,2020-12-01 2021-01-01
29,4,usps,150,rising,2020-12-01 2021-01-01
30,5,omegle,100,rising,2020-12-01 2021-01-01
31,6,nba,70,rising,2020-12-01 2021-01-01
32,7,lakers,70,rising,2020-12-01 2021-01-01
33,8,bath and body works,60,rising,2020-12-01 2021-01-01
34,9,ups,50,rising,2020-12-01 2021-01-01
35,10,nfl schedule,40,rising,2020-12-01 2021-01-01
0,0,weather,100,top,2021-01-01 2021-02-01
1,1,news,80,top,2021-01-01 2021-02-01
2,2,google,73,top,2021-01-01 2021-02-01
3,3,amazon,66,top,2021-01-01 2021-02-01
4,4,facebook,64,top,2021-01-01 2021-02-01
5,5,youtube,61,top,2021-01-01 2021-02-01
6,6,nfl,49,top,2021-01-01 2021-02-01
7,7,trump,48,top,2021-01-01 2021-02-01
8,8,walmart,44,top,2021-01-01 2021-02-01
9,9,yahoo,30,top,2021-01-01 2021-02-01
10,10,craigslist,28,top,2021-01-01 2021-02-01
11,11,twitter,26,top,2021-01-01 2021-02-01
12,12,calculator,23,top,2021-01-01 2021-02-01
13,13,translate,22,top,2021-01-01 2021-02-01
14,14,nba,21,top,2021-01-01 2021-02-01
15,15,netflix,21,top,2021-01-01 2021-02-01
16,16,instagram,20,top,2021-01-01 2021-02-01
17,17,target,18,top,2021-01-01 2021-02-01
18,18,irs,18,top,2021-01-01 2021-02-01
19,19,gmail,17,top,2021-01-01 2021-02-01
20,20,cnn,17,top,2021-01-01 2021-02-01
21,21,usps,17,top,2021-01-01 2021-02-01
22,22,home depot,16,top,2021-01-01 2021-02-01
23,23,mega millions,14,top,2021-01-01 2021-02-01
24,24,fox news,14,top,2021-01-01 2021-02-01
25,0,gme stock,1900,rising,2021-01-01 2021-02-01
26,1,amc stock,1800,rising,2021-01-01 2021-02-01
27,2,larry king,1450,rising,2021-01-01 2021-02-01
28,3,super bowl 2021,800,rising,2021-01-01 2021-02-01
29,4,get my payment,500,rising,2021-01-01 2021-02-01
30,5,mega millions,450,rising,2021-01-01 2021-02-01
31,6,nfl playoff bracket,450,rising,2021-01-01 2021-02-01
32,7,irs,180,rising,2021-01-01 2021-02-01
33,8,bitcoin price,120,rising,2021-01-01 2021-02-01
